TeamId,TeamName,SubmissionDate,Score
24665,rhydomako,"2012-10-02 04:43:58",0.77033
24665,rhydomako,"2012-10-03 00:29:19",0.77990
27499,ankurzen,"2012-11-05 13:48:44",0.76555
29747,Rich,"2012-12-06 04:09:03",0.76555
29760,"supersonic puncher","2012-12-06 10:36:08",0.37321
29760,"supersonic puncher","2012-12-06 10:39:18",0.62679
30447,Data_Science_Launch,"2012-12-14 09:56:13",0.69378
30447,Data_Science_Launch,"2012-12-15 09:17:48",0.72727
29760,"supersonic puncher","2012-12-16 06:54:20",0.68421
29760,"supersonic puncher","2012-12-16 07:25:26",0.69856
31507,Imroj,"2012-12-23 19:40:23",0.76555
31507,Imroj,"2012-12-24 09:23:46",0.77990
31688,"Mo Kweon","2012-12-27 07:15:01",0.76555
33366,gingerman,"2013-01-24 22:35:19",0.73684
33366,gingerman,"2013-01-25 07:31:09",0.76077
36913,jfjensen78,"2013-03-15 21:04:25",0.76555
36913,jfjensen78,"2013-03-15 22:40:17",0.77512
46482,"Mario Filho","2013-06-08 19:56:39",0.71292
46482,"Mario Filho","2013-06-08 20:34:54",0.76555
48126,"Ruma Das","2013-06-12 20:37:37",0.73684
48126,"Ruma Das","2013-06-13 01:48:23",0.79426
48126,"Ruma Das","2013-06-13 22:59:17",0.79904
48964,Jhonasttan,"2013-06-14 20:37:28",0.75598
48305,"Nikos Kourounis","2013-06-16 14:58:15",0.54067
48305,"Nikos Kourounis","2013-06-16 15:31:16",0.77512
30447,Data_Science_Launch,"2013-06-17 11:03:56",0.73684
48305,"Nikos Kourounis","2013-06-17 11:53:13",0.78469
30447,Data_Science_Launch,"2013-06-17 11:59:09",0.74163
50970,"Andrew Wilson","2013-06-17 21:23:32",0.76555
48791,"Victor Cutilla","2013-06-17 22:19:38",0.75120
30447,Data_Science_Launch,"2013-06-18 11:07:37",0.76077
30447,Data_Science_Launch,"2013-06-18 13:59:02",0.77990
52075,Qrkchrm,"2013-06-25 23:56:27",0.67943
52075,Qrkchrm,"2013-06-26 01:49:11",0.75120
52462,Pramod,"2013-07-01 02:31:47",0.76555
52462,Pramod,"2013-07-01 04:00:13",0.77512
54925,xnovice,"2013-08-09 10:52:28",0.77990
54961,"Jon Shoemaker","2013-08-10 05:05:55",0.76555
55598,ie.jay,"2013-08-19 02:40:15",0.73684
55598,ie.jay,"2013-08-19 04:00:58",0.76077
55598,ie.jay,"2013-09-13 07:23:01",0.76555
61016,naora,"2013-10-10 00:46:14",0.76555
61016,naora,"2013-10-11 09:21:23",0.78469
61016,naora,"2013-10-11 09:28:27",0.79426
61281,"Matteo S.","2013-10-13 12:33:04",0.62679
61281,"Matteo S.","2013-10-13 18:50:25",0.76077
61281,"Matteo S.","2013-10-13 19:24:32",0.78469
61438,Noob,"2013-10-14 10:13:11",0.70813
61438,Noob,"2013-10-14 10:22:36",0.77990
62973,treborky,"2013-10-27 14:18:04",0.76555
62973,treborky,"2013-10-27 15:56:55",0.77990
63234,TheKai,"2013-10-29 15:38:01",0.75598
64983,"Anuj Saxena","2013-11-13 07:00:11",0.77512
64983,"Anuj Saxena","2013-12-21 01:49:24",0.79426
64983,"Anuj Saxena","2013-12-21 01:52:19",0.80383
70038,noracode,"2013-12-24 18:01:19",0.76555
64983,"Anuj Saxena","2013-12-24 20:39:35",0.82297
72063,justinjk,"2014-01-18 06:12:23",0.73684
72063,justinjk,"2014-01-19 01:12:04",0.76555
72063,justinjk,"2014-01-19 08:56:17",0.77990
54925,xnovice,"2014-01-22 07:07:42",0.78469
54925,xnovice,"2014-01-22 12:20:23",0.79904
54925,xnovice,"2014-01-24 19:51:33",0.81340
72623,mh_AZ,"2014-01-24 20:43:21",0.62679
72623,mh_AZ,"2014-01-24 20:51:16",0.76555
72623,mh_AZ,"2014-01-27 22:46:39",0.77990
72623,mh_AZ,"2014-01-28 00:15:12",0.78469
72623,mh_AZ,"2014-01-28 21:21:03",0.79904
72623,mh_AZ,"2014-01-28 23:08:18",0.80861
74235,"Paul Sethre","2014-01-29 00:27:40",0.77512
75629,Mauryaa,"2014-02-10 06:50:02",0.76555
75629,Mauryaa,"2014-02-12 02:45:55",0.77033
88691,"José Almaguer","2014-04-18 20:33:09",0.76555
88691,"José Almaguer","2014-04-18 21:34:04",0.77990
89848,"David Diviny","2014-04-24 05:41:24",0.62679
89848,"David Diviny","2014-04-24 05:46:39",0.76555
89848,"David Diviny","2014-04-24 06:23:22",0.78469
90658,"Keivan Bakhoda","2014-04-27 19:53:55",0.62679
90658,"Keivan Bakhoda","2014-04-27 20:02:30",0.76555
90658,"Keivan Bakhoda","2014-04-27 20:23:42",0.77990
91519,cmwp,"2014-05-01 19:26:44",0.76555
